,POA 2021 Code,POA 2021 Area (km2),MMM 2023,MMM 2023 Area in POA 2021 (km2)
,2839,12282.839,7,12282.8
,2840,62474.6022,7,62474.6
,2842,1317.6706,5,1317.7
,2843,1590.9154,5,1590.9
,2844,1821.5658,5,1821.6
,2845,67.0705,5,67.1
,2846,591.8498,5,591.8
,2847,98.897,5,98.9
,2848,166.2149,5,166.2
,2849,2801.0405,5,2801.0
,2850,6005.3758,4,271.5
,2850,6005.3758,5,5733.8
,2852,1240.991,5,1241.0
,2864,438.2457,5,438.2
,2865,620.1745,5,620.2
,2866,1198.7089,5,1198.7
,2867,1042.378,5,1042.4
,2868,777.9814,5,778.0
,2869,2103.7978,5,2103.8
,2870,2453.9995,4,234.8
,2870,2453.9995,5,2219.2
,2871,3837.8532,4,241.2
,2871,3837.8532,5,3596.7
,2873,3202.9936,6,3203.0
,2874,1358.1326,5,829.8
,2874,1358.1326,6,528.4
,2875,2311.0022,5,1646.0
,2875,2311.0022,6,665.0
,2876,935.4993,5,935.5
,2877,15332.1603,5,825.8
,2877,15332.1603,6,14506.4
,2878,18261.1234,6,3149.8
,2878,18261.1234,7,15111.3
,2879,13320.0094,6,2115.4
